postcode_sector,average_price,percentage_average_price
SW5 9,759000,113
SW6 1,931000,139
SW6 2,1100000,170
SW6 3,1900000,284
SW6 4,1100000,159
SW6 5,962000,143
SW6 6,1100000,161
SW6 7,1000000,150
SW7 1,3700000,545
SW7 2,3500000,528
SW7 3,1400000,215
SW7 4,1300000,189
SW7 5,2200000,321
SW8 1,748000,111
SW8 2,608000,90
SW8 3,623000,93
SW8 4,515000,77
SW8 5,1200000,180
SW9 0,520000,77
SW9 6,520000,77
SW9 7,476000,71
SW9 8,519000,77
SW9 9,655000,98
TN16 2,654000,97
TN16 3,450000,67
TW1 1,833000,124
TW1 2,1100000,158
TW1 3,810000,121
TW1 4,882000,131
TW10 5,889000,132
TW10 6,1100000,165
TW10 7,1100000,161
TW11 0,798000,119
TW11 8,770000,115
TW11 9,864000,129
TW12 1,702000,104
TW12 2,693000,103
TW12 3,625000,93
TW13 4,344000,51
TW13 5,442000,66
TW13 6,403000,60
TW13 7,448000,67
TW14 0,379000,56
TW14 8,368000,55
TW14 9,415000,62
TW2 5,692000,103
TW2 6,671000,100
TW2 7,624000,93
TW3 1,396000,59
TW3 2,495000,74
TW3 3,384000,57
TW3 4,412000,61
TW4 5,426000,63
TW4 6,460000,68
TW4 7,433000,64
TW5 0,543000,81
TW5 9,520000,77
TW7 4,500000,75
TW7 5,491000,73
TW7 6,506000,75
TW7 7,544000,81
TW8 0,393000,59
TW8 8,507000,75
TW8 9,577000,86
TW9 1,853000,127
TW9 2,747000,111
TW9 3,946000,141
TW9 4,834000,124
UB1 1,437000,65
UB1 2,453000,67
UB1 3,447000,67
UB10 0,469000,70
UB10 8,649000,97
UB10 9,515000,77
UB2 4,432000,64
UB2 5,407000,61
UB3 1,400000,60
UB3 2,437000,65
UB3 3,414000,62
UB3 4,430000,64
UB3 5,340000,51
UB4 0,470000,70
UB4 8,476000,71
UB4 9,369000,55
UB5 4,440000,66
UB5 5,394000,59
UB5 6,371000,55
UB6 0,519000,77
UB6 7,506000,75
UB6 8,504000,75
UB6 9,478000,71
UB7 0,415000,62
UB7 7,408000,61
UB7 8,406000,60
UB7 9,406000,61
UB8 1,487000,72
UB8 2,400000,60
UB8 3,470000,70
UB9 6,437000,65
W10 4,722000,108
W10 5,1200000,177
W10 6,1100000,161
W11 1,898000,134
W11 2,2400000,361
W11 3,2300000,345
W11 4,2000000,297
W12 0,665000,99
W12 7,752000,112
W12 8,624000,93
W12 9,769000,115
W13 0,664000,99
W13 8,888000,132
W13 9,723000,108
W14 0,917000,137
W14 8,2100000,308
W14 9,632000,94
W1B 1,5600000,831
W1D 3,890000,133
W1D 4,3700000,554
W1D 7,1800000,261
W1F 0,2200000,329
W1F 7,473000,70
W1F 8,1900000,277
W1F 9,743000,111
W1G 0,1500000,221
W1G 6,1900000,280
W1G 7,2300000,341
W1G 8,1400000,205
W1G 9,3100000,465
W1H 1,913000,136
W1H 2,1700000,258
W1H 4,951000,142
W1H 5,1100000,164
W1H 6,2800000,415
W1H 7,3000000,442
W1J 0,2400000,356
W1J 5,3100000,466
W1J 7,4000000,589
W1J 8,4600000,691
W1K 1,5100000,754
W1K 2,4600000,681
W1K 3,4600000,687
W1K 4,3900000,575
